task,fold,test_subject,model,n_test,accuracy,f1_macro,f1_weighted
binary,10,11,HistGradBoost,205,0.9609756097560975,0.9553084804883366,0.9615966650183179
binary,10,11,SVM-RBF,205,0.9317073170731708,0.9235400682011935,0.9334139063897033
binary,11,13,LogReg,204,0.37254901960784315,0.3419354838709677,0.2834914611005692
binary,11,13,RandomForest,204,0.3333333333333333,0.2870065789473684,0.21217105263157893
binary,11,13,HistGradBoost,204,0.29411764705882354,0.22727272727272727,0.13368983957219252
binary,11,13,SVM-RBF,204,0.3284313725490196,0.279820650913495,0.20277724303832392
binary,12,14,LogReg,204,0.9852941176470589,0.9826996466431095,0.9853926418623987
binary,12,14,RandomForest,204,0.7009803921568627,0.41210374639769454,0.5777532915183364
binary,12,14,HistGradBoost,204,0.7303921568627451,0.5089070775156476,0.6414747892416476
binary,12,14,SVM-RBF,204,0.9950980392156863,0.9941805733846811,0.9951093659543406
binary,13,15,LogReg,205,0.8097560975609757,0.7328320802005013,0.7880775108502964
binary,13,15,RandomForest,205,0.8097560975609757,0.7154905519376535,0.7786005358719117
binary,13,15,HistGradBoost,205,0.8829268292682927,0.850909090909091,0.8775343680709535
binary,13,15,SVM-RBF,205,0.824390243902439,0.7586342229199372,0.8071830608415974
binary,14,16,LogReg,204,0.9754901960784313,0.9716595815620572,0.975745570379523
binary,14,16,RandomForest,204,1.0,1.0,1.0
binary,14,16,HistGradBoost,204,1.0,1.0,1.0
binary,14,16,SVM-RBF,204,0.9901960784313726,0.9885173927727119,0.9902391216533895
binary,15,17,LogReg,209,0.937799043062201,0.9309090909090909,0.9389473684210526
binary,15,17,RandomForest,209,0.9712918660287081,0.9675465838509316,0.9716083687479568
binary,15,17,HistGradBoost,209,0.9090909090909091,0.9015055683706625,0.9115757620854728
binary,15,17,SVM-RBF,209,0.9665071770334929,0.9622753410175086,0.9669303606350911
