modality,n_features,task,model,fold,test_subject,accuracy,f1_macro
Chest only,13,binary,RandomForest,8,9,0.9405940594059405,0.930184331797235
Chest only,13,binary,LogReg,9,10,0.8947368421052632,0.8869047619047619
Chest only,13,binary,RandomForest,9,10,0.7559808612440191,0.6473449131513648
Chest only,13,binary,LogReg,10,11,0.926829268292683,0.9183678887148583
Chest only,13,binary,RandomForest,10,11,0.975609756097561,0.9717233578857347
Chest only,13,binary,LogReg,11,13,0.5588235294117647,0.5584415584415584
Chest only,13,binary,RandomForest,11,13,0.8186274509803921,0.8084604258126729
Chest only,13,binary,LogReg,12,14,0.9950980392156863,0.9941805733846811
Chest only,13,binary,RandomForest,12,14,0.8970588235294118,0.8669854379482721
Chest only,13,binary,LogReg,13,15,0.8048780487804879,0.7197156138911676
Chest only,13,binary,RandomForest,13,15,0.775609756097561,0.6556383289512124
Chest only,13,binary,LogReg,14,16,0.9803921568627451,0.9772321428571429
Chest only,13,binary,RandomForest,14,16,0.9754901960784313,0.9716595815620572
Chest only,13,binary,LogReg,15,17,0.9282296650717703,0.9202797202797203
Chest only,13,binary,RandomForest,15,17,0.9473684210526315,0.9415384615384615
Wrist only,5,3class,LogReg,1,2,0.7731958762886598,0.7021161502509954
Wrist only,5,3class,RandomForest,1,2,0.7474226804123711,0.5626177743824803
Wrist only,5,3class,LogReg,2,3,0.7055837563451777,0.5062435906230925
Wrist only,5,3class,RandomForest,2,3,0.7106598984771574,0.5667132867132868
Wrist only,5,3class,LogReg,3,4,0.7777777777777778,0.5757727523725135
Wrist only,5,3class,RandomForest,3,4,0.8232323232323232,0.70812334472198
Wrist only,5,3class,LogReg,4,5,0.6551724137931034,0.4761877026423593
Wrist only,5,3class,RandomForest,4,5,0.5763546798029556,0.44570707070707066
Wrist only,5,3class,LogReg,5,6,0.8217821782178217,0.7258246849186674
Wrist only,5,3class,RandomForest,5,6,0.5693069306930693,0.2892593657181182
Wrist only,5,3class,LogReg,6,7,0.6517412935323383,0.5252019583632547
Wrist only,5,3class,RandomForest,6,7,0.8059701492537313,0.6367288690337692
Wrist only,5,3class,LogReg,7,8,0.5615763546798029,0.42004132231404956
Wrist only,5,3class,RandomForest,7,8,0.7684729064039408,0.5581118047275023
Wrist only,5,3class,LogReg,8,9,0.4207920792079208,0.4118642981998554
Wrist only,5,3class,RandomForest,8,9,0.8960396039603961,0.8699225048109428
Wrist only,5,3class,LogReg,9,10,0.430622009569378,0.4042232277526396
Wrist only,5,3class,RandomForest,9,10,0.44976076555023925,0.40770248046891
Wrist only,5,3class,LogReg,10,11,0.7073170731707317,0.6353901070882203
Wrist only,5,3class,RandomForest,10,11,0.824390243902439,0.6031042128603105
Wrist only,5,3class,LogReg,11,13,0.29901960784313725,0.17905987817492242
Wrist only,5,3class,RandomForest,11,13,0.3431372549019608,0.21313600860133444
Wrist only,5,3class,LogReg,12,14,0.8137254901960784,0.8052329749103943
Wrist only,5,3class,RandomForest,12,14,0.5049019607843137,0.22366992399565688
Wrist only,5,3class,LogReg,13,15,0.1024390243902439,0.10030165912518856
Wrist only,5,3class,RandomForest,13,15,0.6682926829268293,0.5370290590797132
Wrist only,5,3class,LogReg,14,16,0.9411764705882353,0.9268222163167685
Wrist only,5,3class,RandomForest,14,16,0.9215686274509803,0.8565656565656566
Wrist only,5,3class,LogReg,15,17,0.861244019138756,0.6951705264958278
Wrist only,5,3class,RandomForest,15,17,0.7559808612440191,0.5638130686517783
Wrist only,5,binary,LogReg,1,2,0.9484536082474226,0.9365598430346631
Wrist only,5,binary,RandomForest,1,2,0.8762886597938144,0.8383333333333334
Wrist only,5,binary,LogReg,2,3,0.7766497461928934,0.7592222222222222
Wrist only,5,binary,RandomForest,2,3,0.934010152284264,0.9166042528249048
Wrist only,5,binary,LogReg,3,4,0.9646464646464646,0.9551789929825696
Wrist only,5,binary,RandomForest,3,4,0.9292929292929293,0.9063513513513514
Wrist only,5,binary,LogReg,4,5,0.6847290640394089,0.6806293018682399
Wrist only,5,binary,RandomForest,4,5,0.7339901477832512,0.7267696909272183
Wrist only,5,binary,LogReg,5,6,0.9455445544554455,0.9300796123226029
Wrist only,5,binary,RandomForest,5,6,0.7029702970297029,0.4695378151260504
